path,label,label_id,dataset,speaker_id
data/emotion_datasets/ravdess/Actor_01/03-01-01-01-01-01-01.wav,neutral_calm,0,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-01-01-01-02-01.wav,neutral_calm,0,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-01-01-02-01-01.wav,neutral_calm,0,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-01-01-02-02-01.wav,neutral_calm,0,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-02-01-01-01-01.wav,neutral_calm,0,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-02-01-01-02-01.wav,neutral_calm,0,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-02-01-02-01-01.wav,neutral_calm,0,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-02-01-02-02-01.wav,neutral_calm,0,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-02-02-01-01-01.wav,neutral_calm,0,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-02-02-01-02-01.wav,neutral_calm,0,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-02-02-02-01-01.wav,neutral_calm,0,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-02-02-02-02-01.wav,neutral_calm,0,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-03-01-01-01-01.wav,energetic_engaged,1,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-03-01-01-02-01.wav,energetic_engaged,1,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-03-01-02-01-01.wav,energetic_engaged,1,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-03-01-02-02-01.wav,energetic_engaged,1,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-03-02-01-01-01.wav,energetic_engaged,1,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-03-02-01-02-01.wav,energetic_engaged,1,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-03-02-02-01-01.wav,energetic_engaged,1,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-03-02-02-02-01.wav,energetic_engaged,1,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-04-01-01-01-01.wav,low_energy,2,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-04-01-01-02-01.wav,low_energy,2,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-04-01-02-01-01.wav,low_energy,2,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-04-01-02-02-01.wav,low_energy,2,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-04-02-01-01-01.wav,low_energy,2,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-04-02-01-02-01.wav,low_energy,2,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-04-02-02-01-01.wav,low_energy,2,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-04-02-02-02-01.wav,low_energy,2,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-05-01-01-01-01.wav,tense_stressed,3,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-05-01-01-02-01.wav,tense_stressed,3,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-05-01-02-01-01.wav,tense_stressed,3,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-05-01-02-02-01.wav,tense_stressed,3,ravdess,1
data/emotion_datasets/ravdess/Actor_01/03-01-05-02-01-01-01.wav,tense_stressed,3,ravdess,1
