split,utt_id,speaker_id,gender,age,audio_path,text,accuracy,completeness,fluency,prosodic,total,rms_mean,rms_std,zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,pitch_mean,pitch_std,pitch_range,voiced_ratio,onset_rate_per_sec,pause_ratio,pause_count_per_sec,mean_pause_duration_sec,speech_ratio,pause_count,max_pause_duration_sec,total_pause_duration_sec,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean
train,10011,1,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010011.WAV,WE CALL IT BEAR,8,10.0,9,9,8,0.06427448987960815,0.08219604194164276,0.1482566550925926,0.08422230619348506,2096.8536708701413,924.8349615597863,1810.9517336912952,443.0947152594628,434.21658998838785,53.59627578163965,185.03044596103604,0.4444444444444444,4.263565891472868,0.48992248062015503,1.1627906976744187,0.42133333333333334,0.510077519379845,3.0,0.592,1.264,-393.18157958984375,58.171321868896484,-22.544307708740234,-6.152133464813232,-34.3532600402832,-24.670658111572266,-24.822484970092773,-21.582489013671875,-19.109119415283203,-10.302811622619629,-14.273510932922363,-13.890149116516113,-12.28695297241211
train,10035,1,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010035.WAV,ZERO THREE FIVE ONE,8,10.0,9,9,8,0.06133625656366348,0.06571517139673233,0.17190225290697675,0.1455351974569093,2119.3663526552727,1161.4053825098063,1740.3521464464702,465.3677851239766,357.60125306330843,36.89738197190114,153.25602852169152,0.6790697674418604,3.7900874635568513,0.37317784256559766,1.749271137026239,0.21333333333333335,0.6268221574344024,6.0,0.592,1.28,-385.8415832519531,50.016380310058594,-25.541887283325195,-6.503852844238281,-23.21530532836914,-25.33152198791504,-23.958221435546875,-22.1195125579834,-19.450101852416992,-17.15684700012207,-15.462538719177246,-13.190436363220215,-10.575772285461426
train,10053,1,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010053.WAV,THREE TWO TWO SEVEN,9,10.0,10,10,9,0.057526107877492905,0.06128494814038277,0.2085751488095238,0.19149682779955593,2394.9754768553667,1318.0886444141304,1771.8199711023979,393.6554107819144,393.2599806916171,69.44126404336606,242.90560422975227,0.6047619047619047,2.388059701492537,0.39164179104477614,1.1940298507462686,0.328,0.6083582089552239,4.0,0.592,1.312,-405.89129638671875,34.790042877197266,-15.482730865478516,4.965993404388428,-28.249624252319336,-27.85477066040039,-29.53343963623047,-26.264827728271484,-19.449077606201172,-17.662797927856445,-18.031999588012695,-11.597518920898438,-8.784215927124023
train,10063,1,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010063.WAV,ELEPHANTS TAI GOOSE,10,10.0,9,9,9,0.047647733241319656,0.05245479196310043,0.26189246544471156,0.20379776027040555,2734.1216723208063,1320.8439076926722,1882.2458096814617,384.7439542983327,431.72709392769343,86.49074239736966,249.47564795441576,0.4375,3.3142512805061766,0.41940343476950886,1.2051822838204278,0.348,0.5805965652304912,4.0,0.592,1.392,-398.5533752441406,23.183786392211914,-15.945709228515625,-14.084437370300293,-27.907487869262695,-19.67397117614746,-28.940950393676758,-22.252323150634766,-22.042081832885742,-18.721620559692383,-18.623563766479492,-7.711838722229004,-15.635662078857422
train,10069,1,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010069.WAV,TOM GIVES UP BOXING,9,10.0,9,10,9,0.06154366210103035,0.07445255666971207,0.18727781911375663,0.13393102712520938,2327.9569763356108,1040.07470621637,1818.644734272681,383.14858499492607,407.60140938367874,77.67224075272678,232.26640884570662,0.5767195767195767,3.98671096345515,0.41461794019933557,0.9966777408637875,0.4159999999999999,0.5853820598006645,3.0,0.592,1.248,-371.03717041015625,39.71019744873047,-31.510271072387695,-16.884807586669922,-23.431852340698242,-20.15454864501953,-25.881654739379883,-20.39432144165039,-19.221036911010742,-15.399320602416992,-17.096378326416016,-9.523122787475586,-11.816413879394531
train,10075,1,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010075.WAV,HE HATES SHOOTING,9,10.0,9,9,9,0.05887088552117348,0.06514745950698853,0.24241657021604937,0.18337989958163475,2760.8244298450754,1168.3222621955674,1929.310535888664,253.54144826017512,419.4845095582449,79.57586511428694,275.497022175984,0.345679012345679,4.633204633204634,0.41389961389961394,1.1583011583011584,0.35733333333333334,0.5861003861003861,3.0,0.528,1.072,-367.041748046875,15.683484077453613,-13.981738090515137,-0.06081105396151543,-34.376220703125,-20.554555892944336,-19.79057502746582,-23.942916870117188,-25.297555923461914,-15.09581184387207,-20.12469482421875,-13.74256420135498,-8.405548095703125
train,10089,1,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010089.WAV,MANDY HAS A BIG ARM,10,10.0,9,9,9,0.07532668858766556,0.0727209523320198,0.12169081930051813,0.07091304334468328,1873.1846110462575,693.1388109923435,1773.9154329731418,408.12013207310264,358.4338219631598,60.62595722213963,239.58966274448983,0.7512953367875648,2.922077922077922,0.3012987012987013,0.974025974025974,0.3093333333333333,0.6987012987012987,3.0,0.592,0.9279999999999999,-359.8524169921875,57.27120590209961,-22.73582649230957,2.5220043659210205,-35.301143646240234,-25.918529510498047,-27.01290512084961,-26.056747436523438,-25.79052734375,-19.7174072265625,-17.911630630493164,-16.82175636291504,-16.588829040527344
train,10095,1,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010095.WAV,LOOK AT ANN'S PANTS,10,10.0,9,9,9,0.06921590119600296,0.07616407424211502,0.22440461189516128,0.19685253194908006,2538.501191390293,1299.9265014593389,1925.9877077767035,412.2559399005518,423.7669335106257,76.05126728679953,310.9646790288197,0.532258064516129,3.0303030303030303,0.3286195286195286,2.02020202020202,0.16266666666666665,0.6713804713804714,6.0,0.592,0.976,-355.4667053222656,35.045719146728516,-14.769014358520508,-13.66408634185791,-31.416593551635742,-22.422649383544922,-18.591228485107422,-17.579532623291016,-22.8525447845459,-17.896495819091797,-20.069822311401367,-10.086426734924316,-16.45477867126465
train,10106,1,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010106.WAV,WHAT ABOUT THE BUS,9,10.0,9,8,8,0.06677036732435226,0.0772600993514061,0.21494577891791045,0.1861526233730069,2365.522608350784,1235.5847059046334,1768.9178490052655,373.65249462896395,531.8886110983519,105.74809212383106,323.31933715147716,0.373134328358209,3.755868544600939,0.4356807511737089,0.9389671361502347,0.46399999999999997,0.5643192488262911,2.0,0.576,0.9279999999999999,-373.39715576171875,43.51934051513672,-31.222455978393555,-28.160804748535156,-29.32683563232422,-15.243385314941406,-28.511821746826172,-23.30144500732422,-13.199344635009766,-20.546146392822266,-22.791091918945312,-5.999199390411377,-8.89024829864502
train,10113,1,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010113.WAV,THEN HE WENT TO THEME PARK,6,10.0,9,8,5,0.0467032827436924,0.04369320347905159,0.16404172207446807,0.10366639809512272,2242.825259138032,945.1663056743002,1834.9239887706062,417.05427759905547,411.17738326671287,56.8298055197019,236.7629219172598,0.5053191489361702,4.663557628247835,0.31978680879413723,0.6662225183211193,0.48,0.6802131912058628,2.0,0.576,0.96,-395.0504455566406,37.96003341674805,-25.97311782836914,-1.9429761171340942,-33.675323486328125,-26.486286163330078,-35.754432678222656,-22.175703048706055,-21.910114288330078,-27.73084831237793,-15.413436889648438,-10.25385856628418,-16.8409423828125
train,10115,1,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010115.WAV,LET'S GO TO THE RESTROOM,9,10.0,9,9,9,0.07624435424804688,0.0879615917801857,0.17316323138297873,0.10949623441044262,2251.9221479358507,1060.244267696527,1875.4021113716242,446.34216999853993,381.41954687921327,54.0364189182828,277.8025772199139,0.5851063829787234,3.3333333333333335,0.3893333333333333,1.0,0.38933333333333336,0.6106666666666667,3.0,0.592,1.168,-368.8509826660156,40.4143180847168,-21.48574447631836,-0.41021817922592163,-15.944528579711914,-29.130229949951172,-28.75657844543457,-24.316062927246094,-15.334428787231445,-21.629457473754883,-13.925324440002441,-7.965723991394043,-9.513445854187012
train,10121,1,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010121.WAV,THEN MIKE WALKS TO COFFEE,9,10.0,9,9,8,0.053632546216249466,0.06542897969484329,0.18465051328502416,0.12400825458554152,2224.3187309109067,913.3148768016517,1826.0609068056929,382.3733389219195,387.54617575243185,70.68989573580852,270.5149356504386,0.5845410628019324,3.323262839879154,0.38187311178247735,1.5105740181268883,0.25279999999999997,0.6181268882175226,5.0,0.576,1.264,-390.9856872558594,45.59623336791992,-31.896215438842773,-10.370457649230957,-25.928672790527344,-19.515357971191406,-30.936565399169922,-26.122608184814453,-15.804093360900879,-22.312496185302734,-13.84340763092041,-11.52263069152832,-7.675210475921631
train,10122,1,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010122.WAV,SO MARY WENT ON TO STUDY,9,10.0,9,9,9,0.08394515514373779,0.07957471907138824,0.16386627482476634,0.1310062462292107,2077.5772846194973,1031.321418693674,1711.561750160866,430.4478310265483,419.73411285047956,79.81639203685627,334.11825965985577,0.6728971962616822,5.2631578947368425,0.31812865497076026,1.7543859649122808,0.18133333333333335,0.6818713450292397,6.0,0.56,1.088,-354.2698669433594,46.54512405395508,-28.77402687072754,1.3167173862457275,-31.681594848632812,-21.937883377075195,-32.484169006347656,-23.95447540283203,-22.167877197265625,-21.03603744506836,-18.83713722229004,-8.505134582519531,-13.676117897033691
